entry_timestamp,asset,market_id,side,yes_price_at_entry,no_price_at_entry,side_price_at_entry,external_price_move,external_return_5s,external_return_15s,external_return_30s,external_return_60s,momentum,quote_age_seconds,repricing_velocity,repricing_acceleration,spread_compression,book_imbalance,cross_asset_movement,time_to_expiry_seconds,lag_score,polymarket_price_move_after_30s,polymarket_price_move_after_60s,polymarket_price_move_after_120s,polymarket_price_move_after_180s,max_favorable_excursion,max_adverse_excursion,time_to_repricing_seconds,simulated_exit_timestamp,simulated_exit_seconds,simulated_exit_price,simulated_exit_reason,simulated_pnl_before_slippage,simulated_pnl_after_slippage,repriced_favorably,source_session
2026-06-23T14:29:21.900968+00:00,BTC,0xa5ec5a433ba80f49f6736549b49db48bd8cad96e32c083c5bca430faa1281e52,YES,0.125,0.875,0.125,0.00090658,0.00043372680073394676,0.000501890646696701,0.001199743918053775,0.0011321258391319144,-0.0006302351924352134,2.077968,-0.024926988849659344,-0.029958543244589544,-2.7755575615628914e-17,-0.4735854338556094,0.57,38.099032,0.283308,-0.11,,,,0.315,-0.11,3.997233,2026-06-23T14:29:25.898201+00:00,3.997233,0.44,repricing_target,0.315,0.295,True,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T14:40:27.907974+00:00,SOL,0x1b0ca5a523840544649e5361d143648cc68f3edbd7c371b10f03612d35f76363,NO,0.515,0.485,0.485,-0.00100894,-0.0008649272019605192,-0.0008649272019605192,-0.0001442585112519934,-0.0005767844268204092,-0.00028814277514011,2.086974,-0.029907660099442943,-0.017393569650316798,-0.0,-0.010415298676981577,0.09000000000000002,272.092026,0.159043,0.050000000000000044,0.16000000000000003,0.21999999999999997,,0.25,-0.07999999999999996,1.990071,2026-06-23T14:40:29.898045+00:00,1.990071,0.525,repricing_target,0.040000000000000036,0.020000000000000035,True,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T14:40:43.906861+00:00,SOL,0x1b0ca5a523840544649e5361d143648cc68f3edbd7c371b10f03612d35f76363,NO,0.525,0.475,0.475,-0.00100894,0.0,0.0,-0.0010089362928796808,-0.0007208765859284538,0.0007208765859284538,2.014861,0.01246178593343513,-3.445136441357448e-06,0.010000000000000009,0.08375131835856549,0.13,256.093139,0.315293,0.15000000000000002,0.17000000000000004,-0.02999999999999997,,0.26,-0.125,1.989288,2026-06-23T14:40:45.896149+00:00,1.989288,0.535,repricing_target,0.06000000000000005,0.04000000000000005,True,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T14:44:03.900119+00:00,SOL,0x1b0ca5a523840544649e5361d143648cc68f3edbd7c371b10f03612d35f76363,NO,0.555,0.445,0.445,-0.0008648,-0.00043258832011539017,-0.00043258832011539017,-0.00043258832011539017,-0.00014423770373583888,-0.0002883506163795513,2.066119,0.0,-0.007512652042640321,-0.0,-0.04178794089209433,0.07999999999999996,56.099881,0.270251,0.26999999999999996,,,,0.5349999999999999,-0.29500000000000004,,2026-06-23T14:44:07.895991+00:00,3.995872,0.405,stop_loss,-0.03999999999999998,-0.059999999999999984,False,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T14:44:07.895991+00:00,SOL,0x1b0ca5a523840544649e5361d143648cc68f3edbd7c371b10f03612d35f76363,NO,0.595,0.405,0.405,-0.0008648,-0.00043258832011539017,-0.00043258832011539017,-0.00014423770373583888,-0.00028843380444198985,-0.00014415451567340032,2.059991,0.025121462270075785,0.015126961637612842,-0.020000000000000018,-0.01899624293267615,0.010000000000000009,52.104009,0.270251,0.43499999999999994,,,,0.575,-0.255,,2026-06-23T14:44:09.900657+00:00,2.004666,0.24,stop_loss,-0.16500000000000004,-0.18500000000000003,False,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T14:50:47.893642+00:00,ETH,0x432b92706185086c282c01b2ad7e3ade54b6e1b584c617fe575f6e02d5ae5234,NO,0.56,0.44,0.44,-0.00081688,-0.00021035297228744199,0.0004149552269323564,-0.00028846153846151523,-0.0005587431283607946,0.0009736983552931511,2.085642,0.03768812025223909,0.0039010431429910065,-0.009999999999999898,-0.007468059562339685,0.13500000000000006,252.106358,0.255274,-0.07500000000000001,0.07500000000000001,0.15499999999999997,,0.36500000000000005,-0.15999999999999998,2.006212,2026-06-23T14:50:49.899854+00:00,2.006212,0.495,repricing_target,0.05499999999999999,0.03499999999999999,True,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T14:50:49.899854+00:00,ETH,0x432b92706185086c282c01b2ad7e3ade54b6e1b584c617fe575f6e02d5ae5234,NO,0.505,0.495,0.495,-0.00081688,-0.00021035297228744199,-0.00018631711172412135,-8.415180986509618e-05,-0.0004626597528074594,0.00027634264108333806,2.127854,-0.027414849477522835,-0.0324506930123845,0.009999999999999898,0.10738496598700871,0.04999999999999999,250.100146,0.255274,-0.13,0.020000000000000018,0.14,,0.31000000000000005,-0.21499999999999997,,2026-06-23T14:50:57.894746+00:00,7.994892,0.375,stop_loss,-0.12,-0.13999999999999999,False,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T14:51:27.905290+00:00,SOL,0x79fa88852d2df9f89c7ffe1e19e80856d2864adb8167da187fef1bd49a76815b,NO,0.605,0.395,0.395,-0.00100937,-0.0007211885186787503,-0.0014413375612567503,-0.0010093727469356883,0.0008668015024559939,-0.002308139063712744,17.12729,0.0,0.0,-0.0,-0.056264731529281145,0.07499999999999996,212.09471,0.315429,0.14,0.135,0.21999999999999997,,0.59,0.0,6.001365,2026-06-23T14:51:33.906655+00:00,6.001365,0.475,repricing_target,0.07999999999999996,0.059999999999999956,True,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T14:57:31.900520+00:00,ETH,0x9d1479d0f4d1253c6d0f45f1287df6a0c335a408a1632b88ece0f867c4d6e6e4,NO,0.695,0.305,0.305,-0.00092637,9.032281373611006e-05,-0.00013244395212752558,-0.00043933822423103397,6.021013336576786e-06,-0.00013846496546410236,2.09952,0.1644603234486034,0.046896502234582804,-0.0,0.13351916994669558,0.48,148.09948,0.289491,-0.03999999999999998,0.10000000000000003,-0.22999999999999998,,0.6200000000000001,-0.27,,2026-06-23T14:57:41.897688+00:00,9.997168,0.27,stop_loss,-0.034999999999999976,-0.05499999999999998,False,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T15:01:09.906585+00:00,BTC,0x87fe2cd708a824cd75b58c2f834521821e01308aefa0f385e624120047a327b8,YES,0.435,0.565,0.435,0.0008312,0.0005124264207703177,0.0005765166511622066,0.00032661117372057014,0.0007367781556169017,-0.00016026150445469511,2.120585,0.0,-0.01125314176112605,-0.0,0.04567921162840025,0.04500000000000004,230.093415,0.259749,-0.06,-0.044999999999999984,-0.13,,0.13999999999999996,-0.26,3.995671,2026-06-23T15:01:13.902256+00:00,3.995671,0.515,repricing_target,0.08000000000000002,0.06000000000000001,True,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T15:20:53.894729+00:00,SOL,0xa2715db542f70056fd15a4da82bb1c4f8a9ae2c855fdf3daba0c026ab46e52a0,NO,0.545,0.455,0.455,-0.001017,-0.0001454122437107852,0.00029095141111445955,-0.0011621150493899002,-0.0001454122437107852,0.00043636365482524475,2.115729,0.03517423557592538,0.010157479136847445,-0.020000000000000018,0.07871590769465783,0.12,246.105271,0.317812,-0.020000000000000018,0.04999999999999999,0.11999999999999994,,0.31,-0.11000000000000004,,2026-06-23T15:20:55.902351+00:00,2.007622,0.425,stop_loss,-0.030000000000000027,-0.05000000000000003,False,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T15:21:07.892703+00:00,SOL,0xa2715db542f70056fd15a4da82bb1c4f8a9ae2c855fdf3daba0c026ab46e52a0,NO,0.57,0.43,0.43,-0.00087171,-0.000290739933130002,0.00014543339150652201,0.0004364271166714673,-0.00014539110206457373,0.00029082449357109574,2.096703,0.03266371051711174,0.013908504115266809,-0.009999999999999898,0.04317633431264449,0.14500000000000002,232.107297,0.27241,0.09500000000000003,0.12500000000000006,0.16499999999999998,,0.34,-0.08500000000000002,,2026-06-23T15:21:15.900424+00:00,8.007721,0.38,stop_loss,-0.04999999999999999,-0.06999999999999999,False,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T15:21:31.902237+00:00,SOL,0xa2715db542f70056fd15a4da82bb1c4f8a9ae2c855fdf3daba0c026ab46e52a0,NO,0.555,0.445,0.445,-0.00087171,-0.000290739933130002,-0.00043604651162787444,-0.000290739933130002,-0.0007265329845974611,0.00029048647296958663,2.080237,0.004984995164554695,0.010001615526195084,-0.0,0.03838338414200596,0.15999999999999992,208.097763,0.27241,0.14999999999999997,0.08000000000000002,0.27999999999999997,,0.48500000000000004,0.0,1.99044,2026-06-23T15:21:33.892677+00:00,1.99044,0.525,repricing_target,0.08000000000000002,0.06000000000000001,True,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T15:21:41.900269+00:00,SOL,0xa2715db542f70056fd15a4da82bb1c4f8a9ae2c855fdf3daba0c026ab46e52a0,NO,0.495,0.505,0.505,-0.00087171,0.00014543339150652201,-0.000290739933130002,0.0,0.0004364271166714673,-0.0007271670498014693,2.178269,0.002492364640922536,-0.0025163871700468396,0.010000000000000009,0.07327408126668918,0.16000000000000003,198.099731,0.27241,0.07499999999999996,0.14500000000000002,0.21999999999999997,,0.45999999999999996,-0.010000000000000009,6.001779,2026-06-23T15:21:47.902048+00:00,6.001779,0.545,repricing_target,0.040000000000000036,0.020000000000000035,True,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T15:21:51.899173+00:00,SOL,0xa2715db542f70056fd15a4da82bb1c4f8a9ae2c855fdf3daba0c026ab46e52a0,NO,0.5,0.5,0.5,-0.00087171,0.0,0.00014543339150652201,-0.00043604651162787444,0.0,0.00014543339150652201,2.127173,0.027412731569049924,0.016166505845102753,-0.010000000000000009,0.08209654133450506,0.135,188.100827,0.27241,0.04500000000000004,0.15500000000000003,0.09499999999999997,,0.46499999999999997,0.0,6.004184,2026-06-23T15:21:57.903357+00:00,6.004184,0.535,repricing_target,0.03500000000000003,0.01500000000000003,True,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-23T18:03:27.904391+00:00,ETH,0x99b3ac6548dfb4f5c104d0f10e1ef10a75d45c2211581f6314dd04af7752aeaf,NO,0.975,0.025,0.025,-0.00083703,0.0,0.0,-0.000837031728922244,-0.00030727519204698517,0.00030727519204698517,2.206391,0.004983459896603178,-1.9194429242706123e-05,-0.0,0.8347114156685256,0.030000000000000027,92.095609,0.261572,-0.010000000000000002,-0.010000000000000002,,,0.019999999999999997,-0.010000000000000002,,2026-06-23T18:04:57.896146+00:00,89.991755,0.015,timeout,-0.010000000000000002,-0.030000000000000002,False,polymarket\runs\microstructure_development_v1\20260623_120611\session.jsonl
2026-06-24T02:39:17.658036+00:00,ETH,0x42b9c8b754867ed8ad376c54c1c0669b75bf86040e4bf121eb37041a12035433,NO,0.465,0.535,0.535,-0.00139219,-0.0015000420011760385,-0.0016018814607718923,-0.0015000420011760385,-0.0013442473415108402,-0.00025763411926105206,2.407036,-0.08032668864270989,-0.04032735567689287,5.551115123125783e-17,-0.12487810752499816,0.33000000000000007,42.341964,0.435059,0.0,,,,0.0,0.0,,2026-06-24T02:39:57.659338+00:00,40.001302,0.535,timeout,0.0,-0.02,False,polymarket\runs\microstructure_development_v1_batch_002\20260623_214015\session.jsonl
2026-06-24T02:39:17.658036+00:00,SOL,0xb26e41a85bc347daa925546fd9d91738ddac2b6712507a8adbe49f0a7e684b28,NO,0.515,0.485,0.485,-0.00143616,-0.0021526980482204916,-0.0021526980482204916,-0.002009473230945913,-0.0018662072925638151,-0.0002864907556566765,2.496036,-0.020081672160677494,-0.010081838919223228,-0.0,-0.1067361056767321,0.29000000000000004,42.341964,0.448801,0.0,,,,0.0,0.0,,2026-06-24T02:39:57.659338+00:00,40.001302,0.485,timeout,0.0,-0.02,False,polymarket\runs\microstructure_development_v1_batch_002\20260623_214015\session.jsonl
